  V_V1                 , V(D1:1)              , V(V1:+)              
  -2.330000000000e+000  ,-2.329994529066e+000  ,-2.330000000000e+000  
  -2.320000000000e+000  ,-2.319994532354e+000  ,-2.320000000000e+000  
  -2.310000000000e+000  ,-2.309994535649e+000  ,-2.310000000000e+000  
  -2.300000000000e+000  ,-2.299994538953e+000  ,-2.300000000000e+000  
  -2.290000000000e+000  ,-2.289994542264e+000  ,-2.290000000000e+000  
  -2.280000000000e+000  ,-2.279994545584e+000  ,-2.280000000000e+000  
  -2.270000000000e+000  ,-2.269994548911e+000  ,-2.270000000000e+000  
  -2.260000000000e+000  ,-2.259994552247e+000  ,-2.260000000000e+000  
  -2.250000000000e+000  ,-2.249994555590e+000  ,-2.250000000000e+000  
  -2.240000000000e+000  ,-2.239994558941e+000  ,-2.240000000000e+000  
  -2.230000000000e+000  ,-2.229994562302e+000  ,-2.230000000000e+000  
  -2.220000000000e+000  ,-2.219994565670e+000  ,-2.220000000000e+000  
  -2.210000000000e+000  ,-2.209994569045e+000  ,-2.210000000000e+000  
  -2.200000000000e+000  ,-2.199994572430e+000  ,-2.200000000000e+000  
  -2.190000000000e+000  ,-2.189994575823e+000  ,-2.190000000000e+000  
  -2.180000000000e+000  ,-2.179994579225e+000  ,-2.180000000000e+000  
  -2.170000000000e+000  ,-2.169994582634e+000  ,-2.170000000000e+000  
  -2.160000000000e+000  ,-2.159994586053e+000  ,-2.160000000000e+000  
  -2.150000000000e+000  ,-2.149994589479e+000  ,-2.150000000000e+000  
  -2.140000000000e+000  ,-2.139994592916e+000  ,-2.140000000000e+000  
  -2.130000000000e+000  ,-2.129994596360e+000  ,-2.130000000000e+000  
  -2.120000000000e+000  ,-2.119994599812e+000  ,-2.120000000000e+000  
  -2.110000000000e+000  ,-2.109994603274e+000  ,-2.110000000000e+000  
  -2.100000000000e+000  ,-2.099994606745e+000  ,-2.100000000000e+000  
  -2.090000000000e+000  ,-2.089994610225e+000  ,-2.090000000000e+000  
  -2.080000000000e+000  ,-2.079994613713e+000  ,-2.080000000000e+000  
  -2.070000000000e+000  ,-2.069994617210e+000  ,-2.070000000000e+000  
  -2.060000000000e+000  ,-2.059994620716e+000  ,-2.060000000000e+000  
  -2.050000000000e+000  ,-2.049994624232e+000  ,-2.050000000000e+000  
  -2.040000000000e+000  ,-2.039994627757e+000  ,-2.040000000000e+000  
  -2.030000000000e+000  ,-2.029994631292e+000  ,-2.030000000000e+000  
  -2.020000000000e+000  ,-2.019994634835e+000  ,-2.020000000000e+000  
  -2.010000000000e+000  ,-2.009994638387e+000  ,-2.010000000000e+000  
  -2.000000000000e+000  ,-1.999994641950e+000  ,-2.000000000000e+000  
  -1.990000000000e+000  ,-1.989994645522e+000  ,-1.990000000000e+000  
  -1.980000000000e+000  ,-1.979994649104e+000  ,-1.980000000000e+000  
  -1.970000000000e+000  ,-1.969994652695e+000  ,-1.970000000000e+000  
  -1.960000000000e+000  ,-1.959994656295e+000  ,-1.960000000000e+000  
  -1.950000000000e+000  ,-1.949994659905e+000  ,-1.950000000000e+000  
  -1.940000000000e+000  ,-1.939994663526e+000  ,-1.940000000000e+000  
  -1.930000000000e+000  ,-1.929994667155e+000  ,-1.930000000000e+000  
  -1.920000000000e+000  ,-1.919994670796e+000  ,-1.920000000000e+000  
  -1.910000000000e+000  ,-1.909994674446e+000  ,-1.910000000000e+000  
  -1.900000000000e+000  ,-1.899994678107e+000  ,-1.900000000000e+000  
  -1.890000000000e+000  ,-1.889994681777e+000  ,-1.890000000000e+000  
  -1.880000000000e+000  ,-1.879994685458e+000  ,-1.880000000000e+000  
  -1.870000000000e+000  ,-1.869994689149e+000  ,-1.870000000000e+000  
  -1.860000000000e+000  ,-1.859994692850e+000  ,-1.860000000000e+000  
  -1.850000000000e+000  ,-1.849994696562e+000  ,-1.850000000000e+000  
  -1.840000000000e+000  ,-1.839994700284e+000  ,-1.840000000000e+000  
  -1.830000000000e+000  ,-1.829994704017e+000  ,-1.830000000000e+000  
  -1.820000000000e+000  ,-1.819994707762e+000  ,-1.820000000000e+000  
  -1.810000000000e+000  ,-1.809994711516e+000  ,-1.810000000000e+000  
  -1.800000000000e+000  ,-1.799994715281e+000  ,-1.800000000000e+000  
  -1.790000000000e+000  ,-1.789994719058e+000  ,-1.790000000000e+000  
  -1.780000000000e+000  ,-1.779994722846e+000  ,-1.780000000000e+000  
  -1.770000000000e+000  ,-1.769994726644e+000  ,-1.770000000000e+000  
  -1.760000000000e+000  ,-1.759994730453e+000  ,-1.760000000000e+000  
  -1.750000000000e+000  ,-1.749994734274e+000  ,-1.750000000000e+000  
  -1.740000000000e+000  ,-1.739994738106e+000  ,-1.740000000000e+000  
  -1.730000000000e+000  ,-1.729994741950e+000  ,-1.730000000000e+000  
  -1.720000000000e+000  ,-1.719994745804e+000  ,-1.720000000000e+000  
  -1.710000000000e+000  ,-1.709994749672e+000  ,-1.710000000000e+000  
  -1.700000000000e+000  ,-1.699994753549e+000  ,-1.700000000000e+000  
  -1.690000000000e+000  ,-1.689994757440e+000  ,-1.690000000000e+000  
  -1.680000000000e+000  ,-1.679994761342e+000  ,-1.680000000000e+000  
  -1.670000000000e+000  ,-1.669994765256e+000  ,-1.670000000000e+000  
  -1.660000000000e+000  ,-1.659994769182e+000  ,-1.660000000000e+000  
  -1.650000000000e+000  ,-1.649994773120e+000  ,-1.650000000000e+000  
  -1.640000000000e+000  ,-1.639994777070e+000  ,-1.640000000000e+000  
  -1.630000000000e+000  ,-1.629994781033e+000  ,-1.630000000000e+000  
  -1.620000000000e+000  ,-1.619994785007e+000  ,-1.620000000000e+000  
  -1.610000000000e+000  ,-1.609994788995e+000  ,-1.610000000000e+000  
  -1.600000000000e+000  ,-1.599994792995e+000  ,-1.600000000000e+000  
  -1.590000000000e+000  ,-1.589994797008e+000  ,-1.590000000000e+000  
  -1.580000000000e+000  ,-1.579994801034e+000  ,-1.580000000000e+000  
  -1.570000000000e+000  ,-1.569994805072e+000  ,-1.570000000000e+000  
  -1.560000000000e+000  ,-1.559994809124e+000  ,-1.560000000000e+000  
  -1.550000000000e+000  ,-1.549994813189e+000  ,-1.550000000000e+000  
  -1.540000000000e+000  ,-1.539994817266e+000  ,-1.540000000000e+000  
  -1.530000000000e+000  ,-1.529994821358e+000  ,-1.530000000000e+000  
  -1.520000000000e+000  ,-1.519994825463e+000  ,-1.520000000000e+000  
  -1.510000000000e+000  ,-1.509994829581e+000  ,-1.510000000000e+000  
  -1.500000000000e+000  ,-1.499994833713e+000  ,-1.500000000000e+000  
  -1.490000000000e+000  ,-1.489994837859e+000  ,-1.490000000000e+000  
  -1.480000000000e+000  ,-1.479994842018e+000  ,-1.480000000000e+000  
  -1.470000000000e+000  ,-1.469994846192e+000  ,-1.470000000000e+000  
  -1.460000000000e+000  ,-1.459994850379e+000  ,-1.460000000000e+000  
