  Frequency            , V(C1:2)              
  4.265795188016e+006  ,3.969102154480e-004  
  4.365158322402e+006  ,3.878754359684e-004  
  4.466835921510e+006  ,3.790463131741e-004  
  4.570881896149e+006  ,3.704181657477e-004  
  4.677351412872e+006  ,3.619864189315e-004  
  4.786300923226e+006  ,3.537466021021e-004  
  4.897788193684e+006  ,3.456943463998e-004  
  5.011872336273e+006  ,3.378253824122e-004  
  5.128613839914e+006  ,3.301355379107e-004  
  5.248074602498e+006  ,3.226207356383e-004  
  5.370317963702e+006  ,3.152769911474e-004  
  5.495408738576e+006  ,3.081004106878e-004  
  5.623413251903e+006  ,3.010871891416e-004  
  5.754399373371e+006  ,2.942336080061e-004  
  5.888436553556e+006  ,2.875360334221e-004  
  6.025595860743e+006  ,2.809909142470e-004  
